Zip Code,Zip Code Type
70001,Non-Unique
70002,Non-Unique
70003,Non-Unique
70004,PO Box
70005,Non-Unique
70006,Non-Unique
70009,PO Box
70010,PO Box
70011,PO Box
70030,Non-Unique
70031,Non-Unique
70032,Non-Unique
70033,PO Box
70036,Non-Unique
70037,Non-Unique
70038,PO Box
70039,Non-Unique
70040,Non-Unique
70041,Non-Unique
70043,Non-Unique
,
70044,PO Box
70047,Non-Unique
70049,Non-Unique
70050,PO Box
70051,Non-Unique
70052,Non-Unique
70053,Non-Unique
70054,PO Box
70055,PO Box
70056,Non-Unique
70057,Non-Unique
70058,Non-Unique
70059,PO Box
70060,Unique
70062,Non-Unique
70063,PO Box
70064,PO Box
70065,Non-Unique
70067,Non-Unique
70068,Non-Unique
,
70069,PO Box
70070,Non-Unique
70071,Non-Unique
70072,Non-Unique
70073,PO Box
70075,Non-Unique
70076,Non-Unique
70078,PO Box
70079,Non-Unique
70080,Non-Unique
70081,Non-Unique
70082,PO Box
70083,Non-Unique
70084,Non-Unique
70085,Non-Unique
70086,Non-Unique
70087,Non-Unique
70090,Non-Unique
70091,Non-Unique
70092,Non-Unique
,
70093,Non-Unique
70094,Non-Unique
70096,PO Box
70097,PO Box
70112,Non-Unique
70113,Non-Unique
70114,Non-Unique
70115,Non-Unique
70116,Non-Unique
70117,Non-Unique
70118,Non-Unique
70119,Non-Unique
70121,Non-Unique
70122,Non-Unique
70123,Non-Unique
70124,Non-Unique
70125,Non-Unique
70126,Non-Unique
70127,Non-Unique
70128,Non-Unique
,
70129,Non-Unique
70130,Non-Unique
70131,Non-Unique
70139,Non-Unique
70141,PO Box
70142,Unique
70143,Unique
70145,Non-Unique
70146,Non-Unique
70148,Non-Unique
70150,PO Box
70151,PO Box
70152,PO Box
70153,PO Box
70154,Unique
70156,PO Box
70157,PO Box
70158,PO Box
70159,Unique
70160,PO Box
,
70161,PO Box
70162,Unique
70163,Non-Unique
70164,Unique
70165,Unique
70166,Unique
70167,Unique
70170,Non-Unique
70172,PO Box
70174,PO Box
70175,PO Box
70176,PO Box
70177,PO Box
70178,PO Box
70179,PO Box
70181,PO Box
70182,PO Box
70183,PO Box
70184,PO Box
70185,PO Box
,
70186,PO Box
70187,PO Box
70189,PO Box
70190,PO Box
70195,Unique
70301,Non-Unique
70302,PO Box
70310,Unique
70339,Non-Unique
70340,PO Box
70341,Non-Unique
70342,Non-Unique
70343,Non-Unique
70344,Non-Unique
70345,Non-Unique
70346,Non-Unique
70352,Non-Unique
70353,Non-Unique
70354,Non-Unique
70355,Non-Unique
70356,Non-Unique
70357,Non-Unique
70358,Non-Unique
70359,Non-Unique
70360,Non-Unique
70361,PO Box
70363,Non-Unique
70364,Non-Unique
70371,PO Box
70372,Non-Unique
70373,Non-Unique
70374,Non-Unique
70375,Non-Unique
70377,Non-Unique
70380,Non-Unique
70381,PO Box
70390,Non-Unique
70391,PO Box
70392,Non-Unique
70393,Non-Unique
70394,Non-Unique
70395,Non-Unique
70397,Non-Unique
70401,Non-Unique
70402,Non-Unique
70403,Non-Unique
70404,PO Box
70420,Non-Unique
70421,Non-Unique
70422,Non-Unique
70426,Non-Unique
70427,Non-Unique
70429,PO Box
70431,Non-Unique
70433,Non-Unique
70434,PO Box
70435,Non-Unique
70436,Non-Unique
70437,Non-Unique
70438,Non-Unique
70441,Non-Unique
70442,Non-Unique
70443,Non-Unique
70444,Non-Unique
70445,Non-Unique
70446,Non-Unique
70447,Non-Unique
70448,Non-Unique
70449,Non-Unique
70450,Non-Unique
70451,PO Box
70452,Non-Unique
70453,Non-Unique
70454,Non-Unique
70455,Non-Unique
70456,Non-Unique
70457,PO Box
70458,Non-Unique
70459,PO Box
70460,Non-Unique
70461,Non-Unique
70462,Non-Unique
70463,PO Box
70464,PO Box
70465,PO Box
70466,Non-Unique
70467,Non-Unique
70469,PO Box
70470,PO Box
70471,Non-Unique
70501,Non-Unique
70502,PO Box
70503,Non-Unique
70504,Non-Unique
70505,PO Box
70506,Non-Unique
70507,Non-Unique
70508,Non-Unique
70509,PO Box
70510,Non-Unique
70511,PO Box
70512,Non-Unique
70513,PO Box
70514,Non-Unique
70515,Non-Unique
70516,Non-Unique
70517,Non-Unique
70518,Non-Unique
70519,PO Box
70520,Non-Unique
70521,PO Box
70522,PO Box
70523,PO Box
70524,PO Box
70525,Non-Unique
70526,Non-Unique
70527,PO Box
70528,Non-Unique
70529,Non-Unique
70531,Non-Unique
70532,Non-Unique
70533,Non-Unique
70534,PO Box
70535,Non-Unique
70537,Non-Unique
70538,Non-Unique
70540,PO Box
70541,PO Box
70542,Non-Unique
70543,Non-Unique
70544,Non-Unique
70546,Non-Unique
70548,Non-Unique
70549,Non-Unique
70550,PO Box
70551,PO Box
70552,Non-Unique
70554,Non-Unique
70555,Non-Unique
70556,PO Box
70558,PO Box
70559,Non-Unique
70560,Non-Unique
70562,PO Box
70563,Non-Unique
70569,PO Box
70570,Non-Unique
70571,PO Box
70575,PO Box
70576,PO Box
70577,Non-Unique
70578,Non-Unique
70580,PO Box
70581,Non-Unique
70582,Non-Unique
70583,Non-Unique
70584,Non-Unique
70585,PO Box
70586,Non-Unique
70589,Non-Unique
70591,Non-Unique
70592,Non-Unique
70593,PO Box
70596,PO Box
70598,PO Box
70601,Non-Unique
70602,PO Box
70605,Non-Unique
70606,PO Box
70607,Non-Unique
70609,Non-Unique
70611,Non-Unique
70612,PO Box
70615,Non-Unique
70616,PO Box
70629,Non-Unique
70630,Non-Unique
70631,Non-Unique
70632,Non-Unique
70633,Non-Unique
70634,Non-Unique
70637,Non-Unique
70638,PO Box
70639,Non-Unique
70640,PO Box
70643,Non-Unique
70644,PO Box
70645,Non-Unique
70646,PO Box
70647,Non-Unique
70648,Non-Unique
70650,Non-Unique
70651,PO Box
70652,Non-Unique
70653,Non-Unique
70654,Non-Unique
70655,Non-Unique
70656,Non-Unique
70657,Non-Unique
70658,Non-Unique
70659,PO Box
70660,Non-Unique
70661,Non-Unique
70662,Non-Unique
70663,Non-Unique
70664,PO Box
70665,Non-Unique
70668,Non-Unique
70669,Non-Unique
70704,PO Box
70706,Non-Unique
70707,PO Box
70710,Non-Unique
70711,Non-Unique
70712,Non-Unique
70714,Non-Unique
70715,Non-Unique
70718,PO Box
70719,Non-Unique
70721,Non-Unique
70722,Non-Unique
70723,Non-Unique
70725,Non-Unique
70726,Non-Unique
70727,PO Box
70728,PO Box
70729,Non-Unique
70730,Non-Unique
70732,Non-Unique
70733,Non-Unique
70734,Non-Unique
70736,Non-Unique
70737,Non-Unique
70738,PO Box
70739,Non-Unique
70740,Non-Unique
70743,PO Box
70744,Non-Unique
70747,PO Box
70748,Non-Unique
70749,Non-Unique
70750,Non-Unique
70752,Non-Unique
70753,Non-Unique
70754,Non-Unique
70755,Non-Unique
70756,Non-Unique
70757,Non-Unique
70759,Non-Unique
70760,Non-Unique
70761,Non-Unique
70762,Non-Unique
70763,Non-Unique
70764,Non-Unique
70765,PO Box
70767,Non-Unique
70769,Non-Unique
70770,Non-Unique
70772,Non-Unique
70773,Non-Unique
70774,Non-Unique
70775,Non-Unique
70776,Non-Unique
70777,Non-Unique
70778,Non-Unique
70780,Non-Unique
70782,PO Box
70783,Non-Unique
70784,PO Box
70785,Non-Unique
70786,PO Box
70787,PO Box
70788,Non-Unique
70789,Non-Unique
70791,Non-Unique
70792,Non-Unique
70801,Non-Unique
70802,Non-Unique
70803,Non-Unique
70804,PO Box
70805,Non-Unique
70806,Non-Unique
70807,Non-Unique
70808,Non-Unique
70809,Non-Unique
70810,Non-Unique
70811,Non-Unique
70812,Non-Unique
70813,Non-Unique
70814,Non-Unique
70815,Non-Unique
70816,Non-Unique
70817,Non-Unique
70818,Non-Unique
70819,Non-Unique
70820,Non-Unique
70821,PO Box
70822,Unique
70823,Unique
70825,Non-Unique
70826,PO Box
70827,Non-Unique
70831,PO Box
70833,Unique
70835,PO Box
70836,Non-Unique
70837,PO Box
70873,PO Box
70874,PO Box
70879,PO Box
70884,PO Box
70891,Unique
70892,PO Box
70893,PO Box
70894,PO Box
70895,PO Box
70896,PO Box
70898,PO Box
71001,Non-Unique
71002,Non-Unique
71003,Non-Unique
71004,Non-Unique
71006,Non-Unique
71007,Non-Unique
71008,Non-Unique
71009,PO Box
71016,Non-Unique
71018,Non-Unique
71019,Non-Unique
71021,PO Box
71023,Non-Unique
71024,Non-Unique
71027,Non-Unique
71028,Non-Unique
71029,Non-Unique
71030,Non-Unique
71031,Non-Unique
71032,Non-Unique
71033,Non-Unique
71034,Non-Unique
71037,Non-Unique
71038,Non-Unique
71039,Non-Unique
71040,Non-Unique
71043,Non-Unique
71044,Non-Unique
71045,Non-Unique
71046,Non-Unique
71047,Non-Unique
71048,Non-Unique
71049,Non-Unique
71050,PO Box
71051,Non-Unique
71052,Non-Unique
71055,Non-Unique
71058,PO Box
71060,Non-Unique
71061,Non-Unique
71063,Non-Unique
71064,Non-Unique
71065,Non-Unique
71066,PO Box
71067,Non-Unique
71068,Non-Unique
71069,Non-Unique
71070,Non-Unique
71071,Non-Unique
71072,Non-Unique
71073,Non-Unique
71075,Non-Unique
71078,Non-Unique
71079,Non-Unique
71080,PO Box
71082,Non-Unique
71101,Non-Unique
71102,PO Box
71103,Non-Unique
71104,Non-Unique
71105,Non-Unique
71106,Non-Unique
71107,Non-Unique
71108,Non-Unique
71109,Non-Unique
71110,Non-Unique
71111,Non-Unique
71112,Non-Unique
71113,PO Box
71115,Non-Unique
71118,Non-Unique
71119,Non-Unique
71120,PO Box
71129,Non-Unique
71130,PO Box
71133,PO Box
71134,PO Box
71135,PO Box
71136,PO Box
71137,PO Box
71138,PO Box
71148,PO Box
71149,PO Box
71150,PO Box
71151,Unique
71152,Unique
71153,Unique
71154,Unique
71156,Unique
71161,PO Box
71162,PO Box
71163,PO Box
71164,PO Box
71165,PO Box
71166,PO Box
71171,PO Box
71172,PO Box
71201,Non-Unique
71202,Non-Unique
71203,Non-Unique
71207,PO Box
71209,Non-Unique
71210,PO Box
71211,PO Box
71212,Unique
71213,PO Box
71217,PO Box
71218,PO Box
71219,Non-Unique
71220,Non-Unique
71221,PO Box
71222,Non-Unique
71223,Non-Unique
71225,Non-Unique
71226,Non-Unique
71227,Non-Unique
71229,Non-Unique
71230,PO Box
71232,Non-Unique
71233,PO Box
71234,Non-Unique
71235,Non-Unique
71237,Non-Unique
71238,Non-Unique
71240,PO Box
71241,Non-Unique
71242,PO Box
71243,Non-Unique
71245,Non-Unique
71247,PO Box
71249,PO Box
71250,Non-Unique
71251,Non-Unique
71253,PO Box
71254,Non-Unique
71256,Non-Unique
71259,Non-Unique
71260,Non-Unique
71261,Non-Unique
71263,Non-Unique
71264,Non-Unique
71266,Non-Unique
71268,Non-Unique
71269,Non-Unique
71270,Non-Unique
71272,Unique
71273,PO Box
71275,Non-Unique
71276,Non-Unique
71277,Non-Unique
71279,PO Box
71280,Non-Unique
71281,PO Box
71282,Non-Unique
71284,PO Box
71286,Non-Unique
71291,Non-Unique
71292,Non-Unique
71294,PO Box
71295,Non-Unique
71301,Non-Unique
71302,Non-Unique
71303,Non-Unique
71306,PO Box
71307,PO Box
71309,PO Box
71315,PO Box
71316,Non-Unique
71320,PO Box
71322,Non-Unique
71323,Non-Unique
71324,PO Box
71325,Non-Unique
71326,Non-Unique
71327,Non-Unique
71328,Non-Unique
71329,PO Box
71330,PO Box
71331,Non-Unique
71333,Non-Unique
71334,Non-Unique
71336,Non-Unique
71339,PO Box
71340,Non-Unique
71341,Non-Unique
71342,Non-Unique
71343,Non-Unique
71345,PO Box
71346,Non-Unique
71348,PO Box
71350,Non-Unique
71351,Non-Unique
71353,Non-Unique
71354,Non-Unique
71355,Non-Unique
71356,Non-Unique
71357,Non-Unique
71358,Non-Unique
71359,Unique
71360,Non-Unique
71361,PO Box
71362,Non-Unique
71363,PO Box
71365,PO Box
71366,Non-Unique
71367,Non-Unique
71368,Non-Unique
71369,Non-Unique
71371,Non-Unique
71373,Non-Unique
71375,Non-Unique
71377,PO Box
71378,Non-Unique
71401,Non-Unique
71403,Non-Unique
71404,Non-Unique
71405,Non-Unique
71406,Non-Unique
71407,Non-Unique
71409,Non-Unique
71410,PO Box
71411,Non-Unique
71414,PO Box
71415,PO Box
71416,Non-Unique
71417,Non-Unique
71418,Non-Unique
71419,Non-Unique
71422,Non-Unique
71423,Non-Unique
71424,Non-Unique
71425,Non-Unique
71426,Non-Unique
71427,Non-Unique
71428,PO Box
71429,Non-Unique
71430,Non-Unique
71431,PO Box
71432,Non-Unique
71433,Non-Unique
71434,PO Box
71435,Non-Unique
71438,Non-Unique
71439,Non-Unique
71440,PO Box
71441,Non-Unique
71443,Non-Unique
71446,Non-Unique
71447,Non-Unique
71448,PO Box
71449,Non-Unique
71450,Non-Unique
71452,Non-Unique
71454,Non-Unique
71455,Non-Unique
71456,Non-Unique
71457,Non-Unique
71458,PO Box
71459,Non-Unique
71460,PO Box
71461,Non-Unique
71462,Non-Unique
71463,Non-Unique
71465,Non-Unique
71466,Non-Unique
71467,Non-Unique
71468,Non-Unique
71469,Non-Unique
71471,PO Box
71472,Non-Unique
71473,Non-Unique
71474,PO Box
71475,PO Box
71477,PO Box
71479,Non-Unique
71480,PO Box
71483,Non-Unique
71485,Non-Unique
71486,Non-Unique
71496,PO Box
71497,Unique
